0062 NGC_189                0.6580  61.115 121.483  -1.726  0.017  0.045  0.120  -0.31  -2.71   0.60  999.99   99.99     0     5     17     82   1300.  0.700 10.795  0.336  0.224  0.000  8.709  0.047   4    0.87    0.21    3.85    0.76   12.29    2.20 DIAS       99.999  9.990   0
0063 Stock_24               0.6627  61.965 121.555  -0.879  0.020  0.060  0.145  -1.66   1.30   0.39  999.99   99.99     0     5     29    129   2400.  0.550 12.078  0.264  0.176  0.000  7.985  0.000   1    1.26    0.25    9.20    1.95    9.27    1.12 DIAS       99.999  9.990   0
0065 Dolidze_12             0.6795  60.855 121.628  -1.993  0.020  0.080  0.130  -0.72  -0.99   0.33  999.99   99.99     0     7     44    112   4000.  0.500 13.171  0.240  0.160  0.000  9.135  0.022  14    2.56    0.65   19.56    5.16    0.79    0.14 DREM ast   99.999  9.990   0
0066 FSR_0508               0.6982  64.956 121.917   2.100  0.012  0.035  0.055   2.23  -0.07   0.55  999.99   99.99     0     5     22     41   5053.  1.499 14.000  0.720  0.480 -0.010  6.670  0.000  -1    1.23    0.28    7.52    1.57    4.93    0.81 DIAS irc   99.999  9.990   0
0067 Dias_1                 0.7102  64.060 121.962   1.202  0.020  0.060  0.140  -0.86   1.33   0.29  999.99   99.99     0    12     52    165   2186.  0.937 12.000  0.450  0.300  0.010  7.900  0.000  -1    0.67    0.17    9.06    2.58   12.64    2.88 DIAS       99.999  9.990   0
0068 NGC_225                0.7200  61.782 121.953  -1.077  0.020  0.070  0.180  -3.09  -0.75   0.41  -28.00   99.99     1     3     29    155    850.  0.600  9.840  0.288  0.192 -0.020  8.191  0.058   2    0.26    0.14    3.58    2.08   14.00    7.76 COCD       99.999  9.990   0
0069 Czernik_2              0.7283  60.152 121.963  -2.708  0.020  0.045  0.110  -0.71  -1.00   0.44  999.99   99.99     0     6     28     92   4500.  0.500 13.427  0.240  0.160  0.010  9.123  0.036   6    1.25    0.35   18.31    5.72    2.13    0.58 DIAS       99.999  9.990   0
0070 King_16                0.7310  64.180 122.102   1.317  0.020  0.065  0.130  -0.66   1.58   0.34  999.99   99.99     0     9     45    124   2325.  0.833 12.100  0.400  0.267  0.000  7.800  0.000  -1    0.80    0.15   10.53    2.16   11.82    2.11 DIAS       99.999  9.990   0
0071 FSR_0507               0.7340  52.360 121.778 -10.498  0.020  0.075  0.150  -5.26   0.37   0.42  999.99   99.99     0     3     25     69   2203.  0.885 12.000  0.425  0.283  0.010  9.000  0.000  -1    2.17    0.69    7.78    1.80    1.29    0.34 FPOS       99.999  9.990   0
0073 Berkeley_4             0.7512  64.382 122.239   1.516  0.030  0.090  0.170  -0.23   1.01   0.31  999.99   99.99     0    16     69    176   3300.  0.700 12.818  0.336  0.224 -0.010  7.300  0.000  -1    1.76    0.32   17.16    3.41    3.97    0.54 COCD       99.999  9.990   0
0074 NGC_188                0.7900  85.255 122.839  22.381  0.035  0.295  0.570   0.15  -1.43   0.11  -45.00    2.13    21    30    402    724   2000.  0.085 11.533  0.041  0.027 -0.015  9.650  0.000  -1    2.36    0.24   22.86    2.50   15.59    1.02 DIAS       -0.010  0.090  21
0075 Berkeley_61            0.8053  67.193 122.624   4.320  0.025  0.060  0.100  -1.95   0.98   0.62  999.99   99.99     0     6     17     51   2153.  1.041 12.000  0.500  0.333 -0.010  8.985  0.015   2    1.40    0.47    4.24    0.69    2.84    0.68 DIAS       99.999  9.990   0
0076 Dolidze_13             0.8340  64.091 122.775   1.216  0.020  0.055  0.110  -1.49   2.45   0.52  999.99   99.99     0     5     25     58   2400.  0.350 12.014  0.168  0.112 -0.010  8.962  0.040   2    0.43    0.20    8.74    4.63    6.71    3.57 DIAS dub   99.999  9.990   0
